query,solution
Follow all the artists involved in the playlist 'My R&B',"['GET /me', 'GET /playlists/{playlist_id}', 'PUT /me/following']"
remove the second track from my playlist 'My R&B',"['GET /me/playlists', 'GET /playlists/{playlist_id}/tracks', 'DELETE /playlists/{playlist_id}/tracks']"
remove the third track from My Music,"['GET /me/tracks', 'DELETE /me/tracks']"
Follow all the singers involved in the song When You Believe,"['GET /search', 'GET /track/{id}', 'PUT /me/following']"
Skip to the next track,['POST /me/player/next']
Play my playlist 'My Rock',"['GET /me/playlists', 'PUT /me/player/play']"
Clear my music library and cancel all following singers,"['GET /me/tracks', 'DELETE /me/tracks', 'GET /me/following', 'DELETE /me/following']"
Create a new playlist and name it Quiet,"['GET /me', 'POST /users/{user_id}/playlists']"
Turn down the volume to 20,['PUT /me/player/volume']
Set the single track repeat mode,['PUT /me/player/repeat']
"Pause playback, increase volume to 80 and switch to the next song","['PUT /me/player/pause', 'PUT /me/player/volume', 'POST /me/player/next']"
Play the newest album of BIGBANG,"['GET /search', 'GET /artists/{id}/albums', 'PUT /me/player/play']"
Follow the artist of the album Mojito,"['GET /search', 'GET /albums/{id}', 'PUT /me/following']"
Play the third song from my music library and set the single track repeat mode,"['GET /me/tracks', 'GET /tracks/{id}', 'PUT /me/player/play', 'PUT /me/player/repeat']"
Create a new playlist named 'BIGBANG' and add a song of BIGBANG to it,"['GET /me', 'POST /users/{user_id}/playlists', 'GET /search', 'POST /playlists/{playlist_id}/tracks']"
Delete all songs from my first playlist,"['GET /me/playlists', 'GET /playlists/{playlist_id}', 'DELETE /playlists/{playlist_id}/tracks']"
Make my first playlist private,"['GET /me/playlists', 'GET /playlists/{playlist_id}', 'PUT /playlists/{playlist_id}']"
Add album Mojito to my music library,"['GET /search', 'PUT /me/albums']"
Add the first song from my music library to the playback queue and enable single song repeat mode,"['GET /me/tracks', 'POST /me/player/queue', 'PUT /me/player/repeat']"
What is my user name?,['GET /me']
Pause the player,['PUT /me/player/pause']
