query,solution
give me some movies that Christopher Nolan known for,['GET /search/person']
"Avatar versus Avatar: The Way of Water, which has a higher rating","['GET /search/movie', 'GET /search/movie']"
Show me some English movies rating no less than 7.0 and no earlier than 2021,['GET /discover/movie']
What is the genre of the movie Lord of the Ring?,"['GET /search/movie', 'GET /movie/{movie_id}']"
What is the birthday of the most popular person right now?,"['GET /person/popular', 'GET /person/{person_id}']"
give me a poster of the second season of Big Bang Theory,"['GET /search/tv', 'GET /tv/{tv_id}/season/{season_number}/images']"
What is the name of the third episod of the second season of Mandalorian?,"['GET /search/tv', 'GET /tv/{tv_id}/season/{season_number}/episode/{episode_number}']"
When is the bitrhday of the lead actor of the movie The Shawshank Redemptionn?,"['GET /search/movie', 'GET /movie/{movie_id}/credits', 'GET /person/{person_id}']"
When is the birthday of the director of the movie The Shawshank Redemption?,"['GET /search/movie', 'GET /movie/{movie_id}/credits', 'GET /person/{person_id}']"
Where is the headquarter of the company that created the movie The Shawshank Redemption?,"['GET /search/movie', 'GET /movie/{movie_id}', 'GET /company/{company_id}']"
Where is the headquarter of the company that created the collection Star Wars?,"['GET /search/collection', 'GET /collection/{collection_id}', 'GET /company/{company_id}']"
"Who has an earlier release date, The Double Life of Veronique or Mulholland Drive?","['GET /search/movie', 'GET /movie/{movie_id}']"
Is the director of Twin Peaks Season 1 and Mulholland Drive the same person?,"['GET /search/tv', 'GET /search/movie', 'GET /movie/{movie_id}/credits', 'GET /tv/{tv_id}/season/{season_number}/credits']"
Where was the director of Mulholland Drive born?,"['GET /search/movie', 'GET /movie/{movie_id}/credits', 'GET /person/{person_id}']"
Is Mulholland Drive in the Top-10 rated list of the TMDB?,"['GET /search/movie', 'GET /movie/top_rated']"
"Who directed more movies, Akira Kurosawa or Spielberg?","['GET /search/person', 'GET /person/{person_id}/movie_credits']"
What TV series has the director of Mulholland Drive directed?,"['GET /search/movie', 'GET /person/{person_id}/tv_credits']"
Tell me about actor Scarlett Johansson's birthday,"['GET /search/person', 'GET /person/{person_id}']"
How many seasons of Sword Art Online are there?,"['GET /search/tv', 'GET /tv/{tv_id}']"
Are Yui Aragaki and Gen Hoshino co-starring in We Married as Job?,"['GET /search/movie', 'GET /movie/{movie_id}/credits']"
"Who is older, by how many years, the director of film Barbie or the lead actor of television DEATH NOTE?","['GET /search/movie', 'GET /movie/{movie_id}/credits', 'GET /search/tv', 'GET /tv/{tv_id}/credits']"
Tell me about Katherine LaNasa's latest movie appearance.,"['GET /search/person', 'GET /person/{movie_id}/movie_credits']"
Give me one cover image of the movie Oppenheimer.,"['GET /search/movie', 'GET /movie/{movie_id}/images']"
